,endTime,artistName,trackName,msPlayed,count
2177,2022-04-23 17:57,Adele,Hometown Glory,343690,1
2178,2022-04-23 18:40,Adele,He Won't Go,5860,1
2179,2022-04-23 18:40,Adele,Hometown Glory,271227,1
2180,2022-04-23 18:47,Adele,I Drink Wine,376170,1
2181,2022-04-23 18:47,Adele,Hometown Glory,12752,1
2182,2022-04-23 18:51,Adele,Make You Feel My Love,212040,1
2183,2022-04-23 18:54,Adele,Strangers By Nature,182164,1
2184,2022-04-23 18:57,Jessie Ware,Last Of The True Believers - Acoustic,99750,1
2185,2022-04-23 19:06,702,Come & Knock On My Door,5942,1
2186,2022-04-24 19:33,Paramore,Still into You,214288,1
2187,2022-04-24 19:36,Paramore,Misery Business,211128,1
2188,2022-04-24 19:39,Paramore,Hard Times,182600,1
2189,2022-04-24 19:44,Paramore,The Only Exception,267092,1
2190,2022-04-24 19:57,Paramore,Ain't It Fun,232936,1
2191,2022-04-25 17:02,Adele,Hometown Glory,271226,1
2192,2022-04-25 17:05,Leon Bridges,Coming Home,206386,1
2193,2022-04-25 17:05,Post Malone,One Right Now (with The Weeknd),789,1
2194,2022-04-25 17:09,Yael Naim,New Soul,225106,1
2195,2022-04-25 17:15,Post Malone,One Right Now (with The Weeknd),193506,1
2196,2022-04-25 17:18,Summer Walker,CPR,203240,1
2197,2022-04-25 17:18,Lake Street Dive,Better Than,18168,1
2198,2022-04-25 17:21,SiR,You Can't Save Me,174946,1
2199,2022-04-25 17:26,emawk,Later,270708,1
2200,2022-04-25 17:29,UMI,Remember Me,199226,1
2201,2022-04-25 17:33,Jazmine Sullivan,On It,205000,1
2202,2022-04-25 17:33,Nia Sultana,Positions,1152,1
2203,2022-04-25 17:33,Pinegrove,Moment,1450,1
2204,2022-04-25 17:33,Matt Corby,Miracle Love,2410,1
2205,2022-04-25 17:33,Adele,I Drink Wine,2944,1
2206,2022-04-25 17:37,The Dip,Atlas,227680,1
2207,2022-04-25 17:41,Bobby Caldwell,What You Won't Do for Love,286493,1
2208,2022-04-25 17:42,Wizkid,Essence (feat. Tems),63151,1
2209,2022-04-25 23:48,The Teskey Brothers,Pain and Misery,240912,1
2210,2022-04-25 23:48,Beyoncé,"SPIRIT - From Disney's ""The Lion King""",13286,1
2211,2022-04-25 23:52,Pinegrove,The Alarmist,241920,1
2212,2022-04-25 23:53,Yusuf / Cat Stevens,Father And Son,66230,1
2213,2022-04-25 23:57,The Teskey Brothers,Pain and Misery,226880,1
2214,2022-04-25 23:57,Beyoncé,"SPIRIT - From Disney's ""The Lion King""",1706,1
2215,2022-04-25 23:57,Summer Walker,CPR,6101,1
2216,2022-04-26 00:01,Post Malone,One Right Now (with The Weeknd),193506,1
2217,2022-04-26 00:02,Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),80084,1
2218,2022-04-26 00:05,Leon Bridges,Coming Home,179605,1
2219,2022-04-27 17:10,Adele,Hometown Glory,271226,1
2220,2022-04-27 17:19,Leon Bridges,Coming Home,206386,1
2221,2022-04-27 17:22,Post Malone,One Right Now (with The Weeknd),193506,1
2222,2022-04-27 17:26,UMI,Remember Me,860,1
2223,2022-04-27 17:26,Jazmine Sullivan,On It,1690,1
2224,2022-04-27 17:26,emawk,Later,950,1
2225,2022-04-27 17:26,Adele,I Drink Wine,1010,1
2226,2022-04-27 17:26,Summer Walker,CPR,203240,1
2227,2022-04-27 17:26,SiR,You Can't Save Me,1870,1
2228,2022-04-27 17:26,Lake Street Dive,Better Than,4400,1
2229,2022-04-27 17:29,Jazmine Sullivan,On It,205000,1
2230,2022-04-27 17:36,Adele,I Drink Wine,376169,1
2231,2022-04-27 17:38,Nia Sultana,Positions,110770,1
2232,2022-04-27 17:41,Pinegrove,Moment,190853,1
2233,2022-04-27 17:45,Matt Corby,Miracle Love,256536,1
2234,2022-04-27 17:49,The Dip,Atlas,227680,1
2235,2022-04-27 17:54,Bobby Caldwell,What You Won't Do for Love,286493,1
2236,2022-04-27 17:58,Wizkid,Essence (feat. Tems),248040,1
2237,2022-04-27 18:01,rum.gold,Waiting For (feat. Jamila Woods),200214,1
2238,2022-04-27 18:04,Teyana Taylor,Gonna Love Me,166997,1
2239,2022-04-27 18:08,Lake Street Dive,I Want You Back,259266,1
2240,2022-04-27 18:12,Snoh Aalegra,I Want You Around,212787,1
2241,2022-04-27 18:15,Victoria Monét,Coastin’,175319,1
2242,2022-04-27 19:55,Leon Bridges,River,132528,1
2243,2022-04-27 19:58,MEDUZA,Lose Control,168387,1
2244,2022-04-27 19:59,Summer Walker,Session 32,80918,1
2245,2022-04-27 20:04,Leon Bridges,Coming Home,8933,1
2246,2022-04-27 20:04,Adele,Hometown Glory,271226,1
2247,2022-04-28 20:25,Leon Bridges,Coming Home,206387,1
2248,2022-04-28 20:35,Leon Bridges,Better Man,16240,1
2249,2022-05-02 00:43,The Supremes,Where Did Our Love Go - Single Version / Mono,153521,1
2250,2022-05-02 00:45,The Supremes,Where Did Our Love Go,153106,1
2251,2022-05-02 00:48,Smokey Robinson & The Miracles,Ooo Baby Baby,163852,1
2252,2022-05-02 00:51,The Marvelettes,Please Mr. Postman - Single Version / Mono,147849,1
2253,2022-05-02 00:54,Marvin Gaye,What's Going On,232851,1
2254,2022-05-02 00:57,Otis Redding,That's How Strong My Love Is,144102,1
2255,2022-05-02 01:00,The Supremes,You Keep Me Hangin' On,163100,1
